,Unnamed: 0,Pressure (dbar),Depth (m),Temperature (°C),Conductivity (µS/cm),Specific Conductance (µS/cm),Salinity (PSS),Sound Velocity (m/s),Density (kg/m³),Latitude,Longitude,UTC Time,File Name,Area,TestType
3676,3676,13.35,13.611164841505772,7.483816146850586,289.64830017089844,445.8347794813831,0.2090280388058641,1437.4558984750563,1000.1112168578668,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3677,3677,13.65,13.91698346266493,7.435542257315444,289.39643960183355,446.1100685569141,0.2091145424700582,1437.2568924184154,1000.1153353854882,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3678,3678,13.95,14.222800669621202,7.364528782210459,289.357371556982,447.0285563311379,0.2094899810482058,1436.9617903672413,1000.1208471551232,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3679,3679,14.249999999999998,14.528616414633571,7.307528972625732,288.940673828125,447.17235117694287,0.2095038201157945,1436.7251150171685,1000.125278019671,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3680,3680,14.55,14.83443145520874,7.320950800947792,288.70442635143,446.6211840880682,0.209249294681206,1436.7864186400022,1000.1258352203674,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3681,3681,14.85,15.140246679423386,7.362350023454538,287.8884277630923,444.7891261828109,0.2084024604327097,1436.9654153312754,1000.1244574356524,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3682,3682,15.15,15.44606141320648,7.294641774276208,287.3653890675512,444.91186970906045,0.2083960237841725,1436.6832979284025,1000.1294235664304,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3683,3683,15.45,15.751874684603738,7.230440857898757,287.2984211013977,445.694215552421,0.2087110937758683,1436.4160183822676,1000.1344031322928,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3684,3684,15.749999999999996,16.05768644130649,7.1584686105571,287.17418115544297,446.49853298855214,0.2090286262090307,1436.1152600409878,1000.139711504772,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3685,3685,16.05,16.36349633308448,7.046677527518059,286.9394180030496,447.6898077135429,0.2094929902969694,1435.6443851113168,1000.1469820234172,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3686,3686,16.205513376320525,16.52202066733868,7.010873317718506,286.9476928710937,448.20347452417656,0.2097049428592338,1435.4943232817668,1000.1496115224992,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3687,3687,0.15,0.1531649619973859,10.617269002705507,310.1933288574219,435.45355601781176,0.2064964314906302,1449.974064719304,999.8083417768664,40.2766884,-106.8555103,2025-05-19 17:42:53,CC2435009_20250519_174253,MID,cast
