Pressure (dbar),Depth (m),Temperature (°C),Conductivity (µS/cm),Specific Conductance (µS/cm),Salinity (PSS),Sound Velocity (m/s),Density (kg/m³),Latitude,Longitude,UTC Time,File Name
1.65,1.6831667396725876,13.942258834838867,335.12115478515625,430.27955338500703,0.20572059066860576,1462.4675148136816,999.4222667211324,40.2872807,-106.8568961,2025-05-13 20:42:33,CC2435009_20250513_204233
1.9894271483556707,2.029413919616268,13.997345600839974,335.2677565710736,429.8597140466045,0.20553757992699903,1462.6707162619366,999.4160573378346,40.2872807,-106.8568961,2025-05-13 20:42:33,CC2435009_20250513_204233
0.15,0.15318921586145776,12.104305186433699,322.0125427246094,433.92881379482833,0.20663077258168436,1455.679966507977,999.6501216087098,40.284147,-106.8537396,2025-05-14 16:41:58,CC2435009_20250514_164158
0.45,0.4589357588233218,12.107025106034232,322.0544891357422,433.9535279579319,0.2066433993362349,1455.6950538602528,999.6512344798498,40.284147,-106.8537396,2025-05-14 16:41:58,CC2435009_20250514_164158
0.7499999999999999,0.7648925723217178,12.109745025634766,322.096435546875,433.97823849823874,0.2066560239996687,1455.7101406249628,999.6523472100041,40.284147,-106.8537396,2025-05-14 16:41:58,CC2435009_20250514_164158
1.05,1.0708491078850924,12.107927863530865,321.0215904088092,432.5512213850999,0.20595822695376245,1455.7072628328115,999.6534310685222,40.284147,-106.8537396,2025-05-14 16:41:58,CC2435009_20250514_164158
1.35,1.376805361114803,12.107786178588867,320.4505310058594,431.7834126019068,0.2055828658860175,1455.711093373773,999.6545725457499,40.284147,-106.8537396,2025-05-14 16:41:58,CC2435009_20250514_164158
1.65,1.6827618454104638,12.12014389038086,316.1568603515625,425.85618914248056,0.2026993828874689,1455.7588873575503,999.6523015459347,40.284147,-106.8537396,2025-05-14 16:41:58,CC2435009_20250514_164158
2.099088299658991,2.1407676692981314,12.164010748785522,320.0208148190297,430.55204264987407,0.2050102257601262,1455.9340346477936,999.6511207250873,40.284147,-106.8537396,2025-05-14 16:41:58,CC2435009_20250514_164158
0.15,0.153190520729514,12.17787944043133,322.13818359375,433.2390502663008,0.20633362829152452,1455.956440389304,999.6413214649739,40.2841455,-106.8537606,2025-05-14 16:43:50,CC2435009_20250514_164350
0.45,0.45893952591330767,12.15885135765173,322.21167173189366,433.5597844920252,0.2064790588168152,1455.889900365651,999.6450757182835,40.2841455,-106.8537606,2025-05-14 16:43:50,CC2435009_20250514_164350
0.7499999999999999,0.764897879647175,12.13705814835148,322.00018213414114,433.52946920007287,0.20645176533381646,1455.8127068421597,999.6490125902094,40.2841455,-106.8537606,2025-05-14 16:43:50,CC2435009_20250514_164350
1.05,1.0708556181869933,12.14557410336644,322.1407528621787,433.61929467794073,0.20649923741247295,1455.8496379778974,999.6494761095437,40.2841455,-106.8537606,2025-05-14 16:43:50,CC2435009_20250514_164350
1.35,1.3768128989542137,12.132584358441315,321.9957611744493,433.5757485477176,0.20647017735811482,1455.805550600462,999.6523843302415,40.2841455,-106.8537606,2025-05-14 16:43:50,CC2435009_20250514_164350
1.65,1.6827692129469338,12.111863573226568,321.76149217074374,433.5022027873461,0.20642233451643982,1455.7323145910345,999.6561739783248,40.2841455,-106.8537606,2025-05-14 16:43:50,CC2435009_20250514_164350
1.95,1.9887252475955148,12.138596885767662,322.18045711260976,433.7542127716684,0.2065586617460371,1455.8379449565116,999.6545901280309,40.2841455,-106.8537606,2025-05-14 16:43:50,CC2435009_20250514_164350
2.2862928276476655,2.3316949699880234,12.153141339681033,322.71322830931695,434.3014031557089,0.20683232448178393,1455.8984186456191,999.6546985715668,40.2841455,-106.8537606,2025-05-14 16:43:50,CC2435009_20250514_164350
0.15,0.15319012096384832,12.15759736525764,322.16714477539057,433.5144998861214,0.20645718775977692,1455.880327769449,999.6437867464401,40.2841478,-106.8537518,2025-05-14 16:46:17,CC2435009_20250514_164617
0.45,0.45893855220123314,12.143257669560668,322.1735167649382,433.6904420596408,0.20653447106608547,1455.8313081806818,999.646937014685,40.2841478,-106.8537518,2025-05-14 16:46:17,CC2435009_20250514_164617
0.7499999999999999,0.7648965674789064,12.131932258605957,322.0376281738281,433.6397388789138,0.2065028075502659,1455.7934791760406,999.6496490533895,40.2841478,-106.8537518,2025-05-14 16:46:17,CC2435009_20250514_164617
1.05,1.0708537146795012,12.11466706299892,321.7387448275741,433.43881312669544,0.2063946910717846,1455.7331798293908,999.6529899046891,40.2841478,-106.8537518,2025-05-14 16:46:17,CC2435009_20250514_164617
1.35,1.3768099606827533,12.101927757263184,321.7012939453125,433.537168270637,0.20643494449932112,1455.6900830599427,999.6559184023689,40.2841478,-106.8537518,2025-05-14 16:46:17,CC2435009_20250514_164617
1.65,1.6827657338650805,12.108325725023047,321.4909726015044,433.1790323602706,0.20626283250720573,1455.7187946575343,999.656460003444,40.2841478,-106.8537518,2025-05-14 16:46:17,CC2435009_20250514_164617
